***
Some things have gotten removed such as:
- tatsuro yamashita - ride on time, etc.
- some dreamcatcher b sides - some kind of licensincg rereleas of music, will have to add songs back to playlist

so I will also keep old version of playlist
***

986  Items In Playlist
Stephen Sanchez - &quot;Until I Found You&quot; (Official Audio) :  Stephen Sanchez
Harry Styles - As It Was in the Live Lounge :  BBCRadio1VEVO
Testa Rossa - Midnight Love :  yotsu
Tomoko Aran - Midnight Pretenders (subtitled) :  Mazori
Night Cruising :  Momoko Kikuchi - Topic
MISSING U :  TWICE
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V :  BLACKPINK
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V :  BLACKPINK
[MV] 유키카 YUKIKA - 「서울여자 (SOUL LADY)」 Official Music Video :  ESTIMATE 유키카 YUKIKA
[MV] 유키카 YUKIKA - 「좋아하고 있어요(Cherries Jubiles)」 :  ESTIMATE 유키카 YUKIKA
[MV] 유키카 YUKIKA - 「네온(NEON)」 Debut Single :  ESTIMATE 유키카 YUKIKA
[MV] 유키카(YUKIKA) - Insomnia / Official Music Video :  SEOUL MUSIC / 서울뮤직
TWICE &quot;The Best Thing I Ever Did(올해 제일 잘한 일)&quot; M/V :  JYP Entertainment
ONCE BEGINS, TWICE BEGINS &quot;ONE IN A MILLION&quot; :  TWICE
애월 (愛月) :  YUKIKA - Topic
여자이고 싶은걸 (Loving you) :  YUKIKA - Topic
Velours - Anomalie LIVE at Nexus ICA :  Nexus Institute of Creative Arts
The Beach Boys - Surfer Girl :  Stephen McElvain
[MV] IU(아이유)_LILAC(라일락) :  1theK (원더케이)
[MV] IU(아이유) _ strawberry moon :  1theK (원더케이)
BE'O (비오) - Counting Stars (Feat. Beenzino) Official MV :  Stone Music Entertainment
박재범 (Jay Park) - ‘GANADARA (Feat. 아이유 IU)’ Official Music Video :  JAY PARK
TWICE DAHYUN PIANO &quot;Reminiscent(YIRUMA)&quot; COVER :  TWICE
Stray Kids &quot;神메뉴(God's Menu)&quot; M/V :  JYP Entertainment
Stray Kids &quot;소리꾼(Thunderous)&quot; M/V :  JYP Entertainment
TWICE 「Kura Kura」 Music Video :  TWICE JAPAN OFFICIAL YouTube Channel
Victor Wooten - Isn't She Lovely :  Músicas
[IU's Palette] Did you block my number? (With Jay Park) Ep.11 :  이지금 [IU Official]
TRICK IT :  TWICE
[MV] 유키카 (YUKIKA) - '여자이고 싶은걸 (loving you)' Official Music Video :  유키카 YUKIKA Official
콘트라베이스 최준혁_이탈리아여행 중 거리연주가들과 함께 즉흥연주_Autumn leaves :  Jazz Music Korea
Cinema Paradiso - Love Theme :  Jazz Music Korea
Horace Silver - Song for My Father :  jazzhole13
Mellow Dream :  Noah Kawaguchi
Cody・Lee(李) - 我愛你(MusicVideo) :  Cody・Lee(李) official
SHE IS SUMMER「CALL ME IN YOUR SUMMER」 :  SHE IS SUMMER OFFICIAL CHANNEL
Dream In The Street :  池田典代 - Topic
TWICE「Breakthrough」Music Video :  TWICE JAPAN OFFICIAL YouTube Channel
